"Title, Author LN",Publication Date,Source
"Old Friends and New Fancies, Brinton",1913,Project Gutenberg
"Old Mortality, Scott",1816,ProQuest
"Old St. Paul's, Ainsworth",1841,Project Gutenberg
"Olga Romanoff, Griffith",1894,Project Gutenberg
"Oliver Goldsmith, De Quincey",1890,ProQuest
Oliver Twist. Dickens,1838,ProQuest
"On Art in Fiction, Lytton",1838,ProQuest
"On Certain Principles of Art in Works of Imagination, Lytton",1863,ProQuest
"On Criticism, Hazlitt",1824,ProQuest
"On English Poetry, Cornwall",1825,ProQuest
"On English Tragedy, Cornwall",1853,ProQuest
"On Essay-Writing in General, Lytton",1863,ProQuest
"On Fable And Romance, Beattie",1783,ProQuest
"On Familiar Style, Hazlitt",1824,ProQuest
"On Genius and Common Sense vol 1, Hazlitt",1824,ProQuest
"On Genius and Common Sense vol 2, Hazlitt",1824,ProQuest
"On Hyperbole, Goldsmith",1892,ProQuest
"On Life, Shelley",1840,ProQuest
"On Love, Shelley",1840,ProQuest
"On Metaphors, Goldsmith",1892,ProQuest
"On Milton's Sonnets, Hazlitt",1824,ProQuest
"On Modern Female Cultivation. No. I, Jewsbury",1832,ProQuest
"On Modern Female Cultivation. No. II, Jewsbury",1832,ProQuest
"On Modern Female Cultivation. No. III, Jewsbury",1832,ProQuest
"On Modern Female Cultivation. No. IV, Jewsbury",1832,ProQuest
"On Periodical Essays, Hunt",1808,ProQuest
"On Picturesque Beauty, Gilpin",1792,ProQuest
"On Poetry in, Varieties in Prose, Allingham",1893,ProQuest
"On Poetry, as Distinguished from other Writing, Goldsmith",1892,ProQuest
"On Reading Romances, Hays",1793,ProQuest
"On Rhythm in Prose, Lytton",1863,ProQuest
"On Some of the Characteristics of Modern Poetry, Hallam",1831,ProQuest
"On Style and Diction, Lytton",1863,ProQuest
"On Style in Literature: Its Technical Elements, Stevenson",1885,ProQuest
"On the Ancient and Modern Influence of Poetry, Landon",1836,ProQuest
"On the Character of Mrs. Heman's Writings, Landon",1836,ProQuest
"On the Conversation of Authors The Same Subject Continued, Hazlitt",1826,ProQuest
"On the Cultivation of Taste, Goldsmith",1892,ProQuest
"On the Face of the Waters, Steel",1896,Project Gutenberg
"On the Formation of Classical English, Clough",1869,ProQuest
"On the Genius & Character of Hogarth, Lamb",1818,ProQuest
"On The Knocking At The Gate In Macbeth, De Quincey",1890,ProQuest
"On the Modern Element in Literature, Arnold",1869,ProQuest
"On the Moral Effect of Writers, Lytton",1863,ProQuest
"On the Mystical Poetry of the Persians and Hindus, Jones",1799,ProQuest
"On the Origin and Progress Of Novel-Writing, Babauld",1820,ProQuest
"On the Picturesque and Ideal, Hazlitt",1824,ProQuest
"On the Pleasure of Painting The same subject continued, Hazlitt",1824,ProQuest
"On the Pleasure of Painting, Hazlitt",1824,ProQuest
"On the Poetical Works of George Wither, Lamb",1818,ProQuest
"On the Prose-Style of Poets, Hazlitt",1826,ProQuest
"On the Science of Criticism, Lewes",1866,ProQuest
"On the Symposium, Shelley",1840,ProQuest
"On The Total Defect of The Quality of Imagination, Lamb",1833,ProQuest
"On the Tragedies of Shakspeare, Lamb",1818,ProQuest
"On the Use of Metaphor and Pathetic Fallacy in Poetry, Noel",1866,ProQuest
"On Translating Homer; Last Words, Arnold",1862,ProQuest
"On Translating Homer; Three Lectures, Arnold",1861,ProQuest
"On Versification, Goldsmith",1892,ProQuest
"On Wordsworth's Poetry, De Quincey",1890,ProQuest
"One of Our Conquerors, Meredith",1891,ProQuest
"Onesimus: Memoirs of a Disciple of St. Paul, Abbott",1882,Project Gutenberg
"Originality of Milton's harmonious use of Proper Names, Hunt",1825,ProQuest
"Orley Farm, Trollope",1861,Project Gutenberg
"Ormond, Edgeworth",1817,ProQuest
"Our Mutual Friend, Dickens",1865,ProQuest
"Paddy the Next Best Thing, Page",1908,Project Gutenberg
"Passionate Friends, Wells",1913,Project Gutenberg
"Patronage, Edgeworth",1814,ProQuest
"Paul Clifford, Bulwer-Lytton",1830,Project Gutenberg
"Paul Kelver, Jerome",1902,Project Gutenberg
"Pearl Maiden, Haggard",1903,Project Gutenberg
"Peg Woffington, Reade",1853,Project Gutenberg
"Pelham, Lytton",1828,ProQuest
"Pendennis, Thackeray",1850,Project Gutenberg
"Percival Keene, Marryat",1844,Project Gutenberg
"Perlycross, Blackmore",1894,Project Gutenberg
"Persons and Pictures from the Histories of France and England, Herbert",1854,ProQuest
"Persuasion, Austen",1818,ProQuest
"Peter and Wendy, Barrie",1911,Project Gutenberg
"Peter Bell, a Lyrical Ballad, Hunt",1819,ProQuest
"Peter Pan in Kensington Gardens, Barrie",1906,Project Gutenberg
"Peter Simple, Marryat",1834,ProQuest
"Petticoat Government, Orczy",1910,Project Gutenberg
"Peveril of the Peak, Scott",1823,Project Gutenberg
"Phantastes, MacDonald",1858,Project Gutenberg
"Phineas Finn, the Irish Member. By Anthony Trollope",1869,ProQuest
"Phineas Redux, Trollope",1873,ProQuest
"Phoebe, Junior, Oliphant",1876,Project Gutenberg
"Piccadilly Jim, Wodehouse",1917,Project Gutenberg
"Pierre, the Partisan, Herbert",1848,ProQuest
"Pip, Hay",1907,Project Gutenberg
"Poems by Alfred Tennyson, Hunt",1842,ProQuest
"Poems by William Robert Spencer, Byron",1825,ProQuest
"Poems. By the Reverend George Crabbe Review, Jeffrey",1844,ProQuest
"Poetics An Essay On Poetry, Dallas",1852,ProQuest
"Poetry and Poetesses, Stodart",1842,ProQuest
"Poetry, with Reference to Aristotle's Poetics, Newman",1871,ProQuest
"Pointed Roofs, Richardson",1915,Project Gutenberg
"Poor Jack, Marryat",1840,Project Gutenberg
"Poor Miss Finch, Collins",1872,Project Gutenberg
"Poor Relations, Mackenzie",1919,Project Gutenberg
"Popanilla, Disraeli",1828,Project Gutenberg
"Popular Fallacies That my Lord Shaftesbury, Lamb",1826,ProQuest
"Popular Fallacies. That great wit, Lamb",1826,ProQuest
"Popularity in Authorship, Clare",1829,ProQuest
"Posthumous Poems of Percy Bysshe Shelley, Hazlitt",1824,ProQuest
"Preface in, Poems, Arnold",1853,ProQuest
"Preface in, Roderick Hudson, James",1907,ProQuest
"Preface in, The Ambassadors, James",1909,ProQuest
"Preface in, The Iliad Of Homer, Newman",1856,ProQuest
"Preface in, The Odes of Horace, Newman",1853,ProQuest
"Preface in, The Portrait of a Lady, James",1908,ProQuest
"Preface in, The Princess Casamassima, James",1909,ProQuest
"Preface in, The Tragic Muse, James",1909,ProQuest
"Preface to Prometheus Unbound, Shelley",1820,ProQuest
"Preface to this Edition in, Literature Dogma, Arnold",1889,ProQuest
"Preface, Including Cursory Observations On Poetry And Cheerfulness from Foliage, Hunt",1818,ProQuest
"Prester John, Buchan",1910,Project Gutenberg
"Pride and Prejudice, Austen",1813,ProQuest
"Prince Otto, Stevenson",1885,Project Gutenberg
"Princess Priscilla's Fortnight, von Arnim",1905,Project Gutenberg
"Prose, McDermott",1832,ProQuest
"Psmith in the City, Wodehouse",1910,Project Gutenberg
"Psmith, Journalist, Wodehouse",1915,Project Gutenberg
"Publishers' Circulars and Literary Advertisements for 1854, Masson",1854,ProQuest
Punch or the London Charivari vol 001,1841,HathiTrust
Punch or the London Charivari vol 002,1842,HathiTrust
Punch or the London Charivari vol 003,1842,HathiTrust
Punch or the London Charivari vol 004,1843,HathiTrust
Punch or the London Charivari vol 005,1843,HathiTrust
Punch or the London Charivari vol 006,1844,HathiTrust
Punch or the London Charivari vol 007,1844,HathiTrust
Punch or the London Charivari vol 008,1845,HathiTrust
Punch or the London Charivari vol 009,1845,HathiTrust
Punch or the London Charivari vol 010,1846,HathiTrust
Punch or the London Charivari vol 011,1846,HathiTrust
Punch or the London Charivari vol 012,1847,HathiTrust
Punch or the London Charivari vol 013,1847,HathiTrust
Punch or the London Charivari vol 014,1848,HathiTrust
Punch or the London Charivari vol 015,1848,HathiTrust
Punch or the London Charivari vol 016,1849,HathiTrust
Punch or the London Charivari vol 017,1849,HathiTrust
Punch or the London Charivari vol 018,1850,HathiTrust
Punch or the London Charivari vol 019,1850,HathiTrust
Punch or the London Charivari vol 020,1851,HathiTrust
Punch or the London Charivari vol 021,1851,HathiTrust
Punch or the London Charivari vol 022,1852,HathiTrust
Punch or the London Charivari vol 023,1852,HathiTrust
Punch or the London Charivari vol 024,1853,HathiTrust
Punch or the London Charivari vol 025,1853,HathiTrust
Punch or the London Charivari vol 026,1854,HathiTrust
Punch or the London Charivari vol 027,1854,HathiTrust
Punch or the London Charivari vol 028,1855,HathiTrust
Punch or the London Charivari vol 029,1855,HathiTrust
Punch or the London Charivari vol 030,1856,HathiTrust
Punch or the London Charivari vol 031,1856,HathiTrust
Punch or the London Charivari vol 032,1857,HathiTrust
Punch or the London Charivari vol 033,1857,HathiTrust
Punch or the London Charivari vol 034,1858,HathiTrust
Punch or the London Charivari vol 035,1858,HathiTrust
Punch or the London Charivari vol 036,1859,HathiTrust
Punch or the London Charivari vol 037,1859,HathiTrust
Punch or the London Charivari vol 038,1860,HathiTrust
Punch or the London Charivari vol 039,1860,HathiTrust
Punch or the London Charivari vol 040,1861,HathiTrust
Punch or the London Charivari vol 041,1861,HathiTrust
Punch or the London Charivari vol 042,1862,HathiTrust
Punch or the London Charivari vol 043,1862,HathiTrust
Punch or the London Charivari vol 044,1863,HathiTrust
Punch or the London Charivari vol 045,1863,HathiTrust
Punch or the London Charivari vol 046,1864,HathiTrust
Punch or the London Charivari vol 047,1864,HathiTrust
Punch or the London Charivari vol 048,1865,HathiTrust
Punch or the London Charivari vol 049,1865,HathiTrust
Punch or the London Charivari vol 050,1866,HathiTrust
Punch or the London Charivari vol 051,1866,HathiTrust
Punch or the London Charivari vol 052,1867,HathiTrust
Punch or the London Charivari vol 053,1867,HathiTrust
Punch or the London Charivari vol 054,1868,HathiTrust
Punch or the London Charivari vol 055,1868,HathiTrust
Punch or the London Charivari vol 056,1869,HathiTrust
Punch or the London Charivari vol 057,1869,HathiTrust
Punch or the London Charivari vol 058,1870,HathiTrust
Punch or the London Charivari vol 059,1870,HathiTrust
Punch or the London Charivari vol 060,1871,HathiTrust
Punch or the London Charivari vol 061,1871,HathiTrust
Punch or the London Charivari vol 062,1872,HathiTrust
Punch or the London Charivari vol 063,1872,HathiTrust
Punch or the London Charivari vol 064,1873,HathiTrust
Punch or the London Charivari vol 065,1873,HathiTrust
Punch or the London Charivari vol 066,1874,HathiTrust
Punch or the London Charivari vol 067,1874,HathiTrust
Punch or the London Charivari vol 068,1875,HathiTrust
Punch or the London Charivari vol 069,1875,HathiTrust
Punch or the London Charivari vol 070,1876,HathiTrust
Punch or the London Charivari vol 071,1876,HathiTrust
Punch or the London Charivari vol 072,1877,HathiTrust
Punch or the London Charivari vol 073,1877,HathiTrust
Punch or the London Charivari vol 074,1878,HathiTrust
Punch or the London Charivari vol 075,1878,HathiTrust
Punch or the London Charivari vol 076,1879,HathiTrust
Punch or the London Charivari vol 077,1879,HathiTrust
Punch or the London Charivari vol 078,1880,HathiTrust
Punch or the London Charivari vol 079,1880,HathiTrust
Punch or the London Charivari vol 080,1881,HathiTrust
Punch or the London Charivari vol 081,1881,HathiTrust
Punch or the London Charivari vol 082,1882,HathiTrust
Punch or the London Charivari vol 083,1882,HathiTrust
Punch or the London Charivari vol 084,1883,HathiTrust
Punch or the London Charivari vol 085,1883,HathiTrust
Punch or the London Charivari vol 086,1884,HathiTrust
Punch or the London Charivari vol 087,1884,HathiTrust
Punch or the London Charivari vol 088,1885,HathiTrust
Punch or the London Charivari vol 089,1885,HathiTrust
Punch or the London Charivari vol 090,1886,HathiTrust
Punch or the London Charivari vol 091,1886,HathiTrust
Punch or the London Charivari vol 092,1887,HathiTrust
Punch or the London Charivari vol 093,1887,HathiTrust
Punch or the London Charivari vol 094,1888,HathiTrust
Punch or the London Charivari vol 095,1888,HathiTrust
Punch or the London Charivari vol 096,1889,HathiTrust
Punch or the London Charivari vol 097,1889,HathiTrust
Punch or the London Charivari vol 098,1890,HathiTrust
Punch or the London Charivari vol 099,1890,HathiTrust
Punch or the London Charivari vol 100,1891,HathiTrust
Punch or the London Charivari vol 101,1891,HathiTrust
Punch or the London Charivari vol 102,1892,HathiTrust
Punch or the London Charivari vol 103,1892,HathiTrust
Punch or the London Charivari vol 104,1893,HathiTrust
Punch or the London Charivari vol 105,1893,HathiTrust
Punch or the London Charivari vol 106,1894,HathiTrust
Punch or the London Charivari vol 107,1894,HathiTrust
Punch or the London Charivari vol 108,1895,HathiTrust
Punch or the London Charivari vol 109,1895,HathiTrust
Punch or the London Charivari vol 110,1896,HathiTrust
Punch or the London Charivari vol 111,1896,HathiTrust
Punch or the London Charivari vol 112,1897,HathiTrust
Punch or the London Charivari vol 113,1897,HathiTrust
Punch or the London Charivari vol 114,1898,HathiTrust
Punch or the London Charivari vol 115,1898,HathiTrust
Punch or the London Charivari vol 116,1899,HathiTrust
Punch or the London Charivari vol 117,1899,HathiTrust
Punch or the London Charivari vol 118,1900,HathiTrust
Punch or the London Charivari vol 119,1900,HathiTrust
Punch or the London Charivari vol 120,1901,HathiTrust
Punch or the London Charivari vol 121,1901,HathiTrust
Punch or the London Charivari vol 122,1902,HathiTrust
Punch or the London Charivari vol 123,1902,HathiTrust
Punch or the London Charivari vol 124,1903,HathiTrust
Punch or the London Charivari vol 125,1903,HathiTrust
Punch or the London Charivari vol 126,1904,HathiTrust
Punch or the London Charivari vol 127,1904,HathiTrust
Punch or the London Charivari vol 128,1905,HathiTrust
Punch or the London Charivari vol 129,1905,HathiTrust
Punch or the London Charivari vol 130,1906,HathiTrust
Punch or the London Charivari vol 131,1906,HathiTrust
Punch or the London Charivari vol 132,1907,HathiTrust
Punch or the London Charivari vol 133,1907,HathiTrust
Punch or the London Charivari vol 134,1908,HathiTrust
Punch or the London Charivari vol 135,1908,HathiTrust
Punch or the London Charivari vol 136,1909,HathiTrust
Punch or the London Charivari vol 137,1909,HathiTrust
Punch or the London Charivari vol 138,1910,HathiTrust
Punch or the London Charivari vol 139,1910,HathiTrust
Punch or the London Charivari vol 140,1911,HathiTrust
Punch or the London Charivari vol 141,1911,HathiTrust
Punch or the London Charivari vol 142,1912,HathiTrust
Punch or the London Charivari vol 143,1912,HathiTrust
Punch or the London Charivari vol 144,1913,HathiTrust
Punch or the London Charivari vol 145,1913,HathiTrust
Punch or the London Charivari vol 146,1914,HathiTrust
Punch or the London Charivari vol 147,1914,HathiTrust
Punch or the London Charivari vol 148,1915,HathiTrust
Punch or the London Charivari vol 149,1915,HathiTrust
Punch or the London Charivari vol 150,1916,HathiTrust
Punch or the London Charivari vol 151,1916,HathiTrust
Punch or the London Charivari vol 152,1917,HathiTrust
Punch or the London Charivari vol 153,1917,HathiTrust
Punch or the London Charivari vol 154,1918,HathiTrust
Punch or the London Charivari vol 155,1918,HathiTrust
Punch or the London Charivari vol 156,1919,HathiTrust
Punch or the London Charivari vol 157,1919,HathiTrust
Punch or the London Charivari vol 158,1920,HathiTrust
Punch or the London Charivari vol 159,1920,HathiTrust
"Queen of the Rushes, Raine",1906,Internet Archive
"Queen Sheba's Ring, Haggard",1910,Project Gutenberg
"Quentin Durward, Scott",1823,ProQuest
"Rachel Ray, Trollope",1863,Project Gutenberg
"Ralph the Heir, Trollope",1871,Project Gutenberg
"Ranald Bannerman's Boyhood, Macdonald",1871,Project Gutenberg
"Realism in Art: Recent German Fiction, Lewes",1858,ProQuest
"Rebecca and Rowena, Thackeray",1850,ProQuest
"Recent Works of Fiction. Ruth Review, Anonymous",1853,ProQuest
"Records of Women Review, Jeffrey",1844,ProQuest
"Red Eve, Haggard",1911,Project Gutenberg
"Red Pottage, Cholmondeley",1899,Project Gutenberg
"Redgauntlet, Scott",1824,ProQuest
"Regiment of Women, Dane",1917,Project Gutenberg
"Remarks Suggested By The Perusal of Mr Hazlitt's Plain Speaker, Hunt",1828,ProQuest
"Restored, Spender",1871,Internet Archive
"Reuben and Rachel; or, Tales of Old Times, Volume 2, Rowson",1798,ProQuest
"Review of Madame de Stael's Account of German Philosophy and Literature, Hazlitt",1814,ProQuest
"Review of Some Poems by Alexander Smith and Matthew Arnold, Clough",1869,ProQuest
"Review of Wordsworth's Poems, Byron",1832,ProQuest
"Rhetoric, De Quincey",1890,ProQuest
"Rhys Lewis, Owen",1885,Internet Archive
"Ringwood the Rover: A Tale of Florida, Herbert",1843,ProQuest
"Rob Roy, Scott",1817,ProQuest
"Robert Elsmere, Ward",1888,ProQuest
"Roderick Hudson, James",1875,Project Gutenberg
"Rodney Stone, Doyle",1896,Project Gutenberg
"Romance, Conrad and Ford",1903,Project Gutenberg
"Romola, Eliot",1863,ProQuest
"Rookwood, Ainsworth",1834,Project Gutenberg
"Running Water, Mason",1907,Project Gutenberg
"Rupert of Hentzau, Hope",1898,Project Gutenberg
"Ruth, Gaskell",1853,ProQuest
"Saint Ronan's Well, Hogg",1823,Internet Archive
"Sainte-Beuve, Arnold",1886,ProQuest
"Salem Chapel: Chronicles of Carlingford, Oliphant",1863,ProQuest
"Salute to Adventurers, Buchan",1915,Project Gutenberg
"Sarah; or, The Exemplary Wife, Rowson",1813,ProQuest
"Sardanapalus, a Tragedy, Jeffrey",1844,ProQuest
"Sartor Resartus, Carlyle",1869,ProQuest
"Savrola, Churchill",1899,Project Gutenberg
"Scenes of Clerical Life, Eliot",1858,ProQuest
"Secresy, Fenwick",1795,ProQuest
"Self-Control, Brunton",1811,ProQuest
"Sense and Sensibility, Austen",1811,ProQuest
"Shakspeare, De Quincey",1890,ProQuest
"Shakspeare's Critics: English and Foreign, Lewes",1849,ProQuest
"She: A History of Adventure, Haggard",1887,ProQuest
"She's All the World to Me, Caine",1885,Project Gutenberg
"Shelley's 'Wandering Jew', Jewsbury",1831,ProQuest
"Shirley, Brontë",1849,ProQuest
"Silas Marner, Eliot",1861,ProQuest
"Silly Novels by Lady Novelists, Eliot",1856,ProQuest
"Sinister Street, Mackenzie",1913,Project Gutenberg
"Sir George Tressady, Ward",1896,Project Gutenberg
"Sir Harry Hotspur of Humblethwaite, Trollope",1871,Project Gutenberg
"Sir Nigel, Doyle",1906,Project Gutenberg
"Sir Quixote of the Moors, Buchan",1895,Project Gutenberg
"Sir Walter Scott, Racine, and Shakespear, Hazlitt",1826,ProQuest
"Sketches of the Living Poets Bowles, Hunt",1821,ProQuest
"Sketches of the Living Poets Byron, Hunt",1821,ProQuest
"Sketches of the Living Poets Campbell, Hunt",1821,ProQuest
"Sketches of The Living Poets Coleridge, Hunt",1821,ProQuest
"Some Observations upon an Article in Blackwood's Magazine, Byron",1833,ProQuest
"Something Fresh, Wodehouse",1915,Project Gutenberg
"Sons and Lovers, Lawrence",1913,Project Gutenberg
"South Wind, Douglas",1917,Project Gutenberg
"Spinoza and the Bible, Arnold",1889,ProQuest
"Spinoza, Arnold",1865,ProQuest
"Sporting Scenes and Sundry Sketches, Herbert",1842,ProQuest
"Springhaven, Blackmore",1887,Project Gutenberg
"Squire Arden, Oliphant",1871,Project Gutenberg
"St. Irvyne, Shelley",1811,ProQuest
"St. Ives, Stevenson",1897,Project Gutenberg
"St. Leon, Godwin",1799,ProQuest
"St. Martin's Eve, Wood",1866,Project Gutenberg
"Stalky & Co., Kipling",1899,Project Gutenberg
"Standard Novels and Romances, Hazlitt",1815,ProQuest
"Stella Fregelius, Haggard",1904,Project Gutenberg
"Stingaree, Hornung",1905,Project Gutenberg
"Story of My Heart, Jefferies",1883,Project Gutenberg
"Strange Case of Dr Jekyll and Mr Hyde, Stevenson",1886,ProQuest
"Style, De Quincey",1890,ProQuest
"Sunny Ducrow, Cooper",1919,Internet Archive
"Swallow, Haggard",1899,Project Gutenberg
"Sybil, Disraeli",1845,ProQuest
"Sylvia and Michael, Mackenzie",1919,Project Gutenberg
"Sylvia Scarlett, Mackenzie",1918,Project Gutenberg
"Sylvia's Lovers, Gaskell",1863,ProQuest
"Sylvie and Bruno Concluded, Carroll",1893,Project Gutenberg
"Sylvie and Bruno, Carroll",1889,Project Gutenberg
"Tales of Fashionable Life Review, Jeffrey",1844,ProQuest
"Tales of the Crusaders, Scott",1825,Project Gutenberg
"Tales of the Spanish Seas, Herbert",1847,ProQuest
"Tancred, Disraeli",1847,ProQuest
"Tarr, Lewis",1918,Project Gutenberg
"Ten Thousand a-Year, Warren",1841,Project Gutenberg
"Tennyson's Poems, Mill",1835,ProQuest
"Tess of the d'Urbervilles, Hardy",1891,ProQuest
"Thaddeus of Warsaw, Porter",1803,Project Gutenberg
"The Abbot, Scott",1820,Project Gutenberg
"The Absentee, Edgeworth",1812,ProQuest
"The Adventures of a Donkey, Argus",1815,Internet Archive
"The Adventures of Harry Richmond, Meredith",1870,Project Gutenberg
"The Adventures of Hugh Trevor, Holcroft",1794,ProQuest
"The Adventures of Mr. Verdant Green, Bede",1853,Project Gutenberg
The Adventures of Philip on His Way Through the World,1862,ProQuest
"The Affair at the Semiramis Hotel, Mason",1917,Project Gutenberg
"The Amateur Gentleman, Farnol",1913,Project Gutenberg
"The American Prisoner, Phillpotts",1904,Project Gutenberg
"The American Senator, Trollope",1877,Project Gutenberg
"The American, James",1877,Project Gutenberg
"The Ancient Allan, Haggard",1920,Project Gutenberg
"The Angel of the Revolution, Griffith",1893,Project Gutenberg
"The Antiquary, Scott",1830,ProQuest
"The Arrow of Gold, Conrad",1919,Project Gutenberg
"The Art of Fiction, Conrad",1897,ProQuest
"The Art of Fiction, James",1888,ProQuest
"The Art Of Fiction; a Lecture, Besant",1884,ProQuest
"The Aspern Papers, James",1888,Project Gutenberg
"The Autobiography of Mark Rutherford, White",1881,ProQuest
"The Awkward Age, James",1899,Project Gutenberg
"The Ayrshire Legatees, Galt",1821,ProQuest
"The Ball and the Cross, Chesterton",1909,Project Gutenberg
"The Bars of Iron, Dell",1916,Project Gutenberg
"The Battle of Dorking, Chesney",1871,ProQuest
"The Battle of Life, Dickens",1846,Project Gutenberg
"The Beach of Dreams, Stacpoole",1919,Project Gutenberg
"The Beach of Falesa, Stevenson",1893,ProQuest
"The Beetle, Marsh",1897,Project Gutenberg
"The Beloved Vagabond, Locke",1906,Project Gutenberg
"The Belton Estate, Trollope",1865,Project Gutenberg
"The Betrothed of Wyoming, McHenry",1830,ProQuest
"The Betrothed, Scott",1825,Project Gutenberg
"The Big Bow Mystery, Zangwill",1892,Project Gutenberg
"The Black Arrow: A Tale of the Two Roses, Stevenson",1888,Project Gutenberg
"The Black Douglas, Crockett",1899,Project Gutenberg
"The Black Dwarf, Scott",1816,ProQuest
"The Black Robe, Collins",1881,Project Gutenberg
"The Blotting Book, Benson",1908,Project Gutenberg
"The Blue Lagoon, Stacpoole",1908,Project Gutenberg
"The Boats of the ""Glen Carrig"", Hodgson",1907,Project Gutenberg
"The Bondman, Caine",1890,Project Gutenberg
"The Book of Snobs, Thackeray",1848,Project Gutenberg
"The Bostonians, James",1886,Project Gutenberg
"The Brass Bottle, Guthrie",1900,Project Gutenberg
"The Brethren, Haggard",1904,Project Gutenberg
"The Bride of Lammermoor, Scott",1819,ProQuest
"The Broad Arrow, Leakey",1859,Internet Archive
"The Broad Highway, Farnol",1910,Project Gutenberg
"The Broken Road, Mason",1907,Project Gutenberg
"The Bronze Eagle, Orczy",1915,Project Gutenberg
"The Brothers: A Tale of the Fronde Vol 2, Herbert",1835,ProQuest
"The Call of the Blood, Hichens",1906,Project Gutenberg
"The Canterville Ghost, Wilde",1887,Project Gutenberg
"The Card, Bennett",1911,Project Gutenberg
"The Carved Lions, Molesworth",1895,Project Gutenberg
"The Case of Richard Meynell, Ward",1911,Project Gutenberg
"The Cask, Crofts",1920,Project Gutenberg
"The Cat of Bubastes, Henty",1889,Project Gutenberg
"The Cavaliers of England, Herbert",1852,ProQuest
"The Caxtons, Bulwer-Lytton",1849,Project Gutenberg
"The Channings, Wood",1862,Project Gutenberg
"The Chevaliers of France, Herbert",1853,ProQuest
"The Children of the New Forest, Marryat",1847,Project Gutenberg
"The Chimes, Dickens",1844,Project Gutenberg
"The Chink in the Armour, Lowndes",1912,Project Gutenberg
"The Claverings, Trollope",1867,Project Gutenberg
"The Cloister and the Hearth, Reade",1860,ProQuest
"The Clue of the Twisted Candle, Wallace",1918,Project Gutenberg
"The Coming of Bill, Wodehouse",1919,Project Gutenberg
"The Coming Race, Lytton",1871,ProQuest
"The Convent School, or Early Experiences of A Young Flagellant, Coote",1876,Project Gutenberg
"The Coral Island, Ballantyne",1857,ProQuest
"The Courtship of Morrice Buckler, Mason",1896,Project Gutenberg
"The Cricket on the Hearth, Dickens",1845,Project Gutenberg
"The Critic as Artist, Wilde",1891,ProQuest
"The Cuckoo Clock, Molesworth",1877,Project Gutenberg
"The Daffodil Mystery, Wallace",1920,Project Gutenberg
"The Daisy Chain; or, Aspirations, Yonge.txt",1856,ProQuest
"The Dandy School, Hazlitt",1827,ProQuest
"The Dead Secret, Collins",1856,Project Gutenberg
"The Decay of Lying, Wilde",1891,ProQuest
"The Deemster, Caine",1887,Project Gutenberg
"The Deerstalkers; or, Circumstantial Evidence, Forester",1849,ProQuest
"The Diary of a Nobody, Grossmith",1892,ProQuest
"The Doings of Raffles Haw, Doyle",1891,Project Gutenberg
"The Double Life of Mr. Alfred Burton, Oppenheim",1913,Project Gutenberg
"The Duke in the Suburbs, Wallace",1909,Project Gutenberg
"The Duke's Children, Trollope",1879,ProQuest
"The Eagle Cliff, Ballantyne",1889,Project Gutenberg
"The Ebb-Tide, Stevenson",1894,Project Gutenberg
"The Egoist, Meredith",1879,ProQuest
"The Elect Lady, Macdonald",1888,Project Gutenberg
"The Elusive Pimpernel, Orczy",1917,Project Gutenberg
"The Enchanted Castle, Nesbit",1907,Project Gutenberg
"The End of Her Honeymoon, Lowndes",1913,Project Gutenberg
"The English Boy at the Cape: An Anglo-African Story, Kendall",1835,Internet Archive
"The Entail: or The Lairds Of Grippy, Galt",1823,ProQuest
"The Epicurean, Moore",1827,Project Gutenberg
"The Ethics of Art, Patmore",1849,ProQuest
"The Ethics of Criticism, Buchanan",1900,ProQuest
"The Europeans, James",1878,Project Gutenberg
"The Eustace Diamonds, Trollope",1871,ProQuest
"The Excursion Review, Jeffrey",1844,ProQuest
"The Excursion, Lamb",1815,ProQuest
"The Fair Maid of Perth, Scott",1828,Project Gutenberg
"The Fille de Chambre, Rowson",1794,ProQuest
"The Firm of Girdlestone, Doyle",1890,Project Gutenberg
"The First Men in the Moon, Wells",1901,Project Gutenberg
"The Fixed Period, Trollope",1882,Project Gutenberg
"The Flying Inn, Chesterton",1914,Project Gutenberg
"The Food of the Gods and How It Came to Earth, Wells",1904,Project Gutenberg
"The Forsyte Saga, Galsworthy",1906,Project Gutenberg
"The Fortunes of Nigel, Scott",1822,Project Gutenberg
"The Fortunes of Perkin Warbeck, Wollstonecraft",1830,ProQuest
"The Four Ages of Poetry, Peacock",1820,ProQuest
"The Four Feathers, Mason",1902,Project Gutenberg
"The Four Men: A Farrago, Belloc",1911,Internet Archive
"The Fruitful Vine, Hichens",1911,Internet Archive
"The Fudges in England, Moore",1835,Internet Archive
"The Future of the Novel, James",1899,ProQuest
"The Gadfly, Voynich",1897,Project Gutenberg
"The Garden of Allah, Hichens",1904,Project Gutenberg
"The Gates of Doom, Sabatini",1914,Internet Archive
"The Genius of Plato, Pater",1893,ProQuest
"The Ghost Kings, Haggard",1908,Project Gutenberg
"The Ghost Pirates, Hodgson",1909,Project Gutenberg
"The Goddess: A Demon, Marsh",1900,Project Gutenberg
"The Gold Bat, Wodehouse",1904,Project Gutenberg
"The Golden Bowl, James",1904,Project Gutenberg
"The Golden Web, Oppenheim",1910,Project Gutenberg
"The Good Soldier, Ford",1915,Project Gutenberg
"The Gorilla Hunters, Ballantyne",1861,Project Gutenberg
"The Grand Babylon Hotel, Bennett",1902,Internet Archive
